accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0.07,0.98,0.37,-3.91,-1.25,-0.06
0.08,0.98,0.37,-3.74,-1.18,-0.38
0.08,0.97,0.38,-3.69,-1.11,-0.43
0.08,0.98,0.37,-3.36,-0.92,-0.79
0.08,0.97,0.37,-3.08,-0.93,-0.95
0.08,0.98,0.37,-2.87,-0.35,-1.07
0.08,0.98,0.37,-2.55,0.21,-1.39
0.08,0.98,0.37,-2.21,0.4,-1.36
0.08,0.98,0.37,-1.8,0.55,-1.65
0.08,0.98,0.38,-1.63,0.84,-1.6
0.08,0.98,0.38,-1.27,0.95,-1.48
0.08,0.99,0.38,-1.3,0.84,-1.51
0.07,0.99,0.37,-1.27,0.76,-1.37
0.07,0.99,0.39,-1.42,0.55,-1.28
0.07,0.99,0.39,-1.5,0.23,-1.31
0.06,0.99,0.39,-1.8,-0.02,-1.25
0.07,0.99,0.38,-2.05,-0.2,-1.13
0.07,0.99,0.38,-2.14,-0.69,-1.24
0.07,0.99,0.37,-2.14,-0.72,-1.08
0.07,1.0,0.39,-2.21,-1.02,-1.18
0.08,0.99,0.39,-2.26,-0.7,-1.13
0.08,0.99,0.37,-2.38,-1.19,-1.08
0.07,0.99,0.37,-2.21,-1.13,-0.89
0.08,0.99,0.37,-2.26,-1.28,-0.84
0.07,0.99,0.37,-2.44,-1.31,-0.87
0.07,0.99,0.37,-2.58,-1.28,-0.78
0.08,0.98,0.37,-2.76,-1.39,-0.92
0.08,0.98,0.37,-2.78,-1.28,-0.82
0.07,0.99,0.37,-2.92,-1.3,-1.08
0.07,0.99,0.38,-3.21,-1.22,-1.13
0.07,0.99,0.38,-3.28,-1.54,-1.01
0.07,0.99,0.37,-3.34,-1.68,-1.1
0.07,0.99,0.38,-3.37,-1.83,-1.19
0.08,0.99,0.38,-3.33,-2.06,-1.01
0.07,0.99,0.39,-3.24,-2.24,-0.9
0.07,0.99,0.39,-3.36,-2.79,-0.96
0.06,1.01,0.4,-3.6,-4.06,-0.78
0.06,1.01,0.42,-4.56,-4.93,-0.34
0.06,1.01,0.41,-6.41,-6.09,0.26
0.07,1.01,0.42,-7.42,-7.11,0.69
0.07,1.01,0.4,-8.21,-7.82,1.18
0.08,1.01,0.4,-8.63,-8.55,1.73
0.07,1.0,0.4,-9.01,-8.85,2.12
0.07,1.0,0.39,-9.42,-9.21,2.49
0.08,1.0,0.39,-9.44,-9.39,2.76
0.08,0.99,0.4,-9.22,-9.31,3.04
